id,state_id,id_1_id_system,id_1_assigning_ord_code,id_1_id_code,name_verification,name_prefix,name_first,name_middle,name_last,name_suffix,name_maiden,other_name_1_type,other_name_1_prefix,other_name_1_first,other_name_1_middle,other_name_1_last,other_name_1_suffix,sex,birth_date,birth_city,birth_state_abbrev,birth_country_code,birth_date_entered_us,birth_multiple_status,address_1_type,address_1_street_number_name,address_1_apt_number,address_1_bldg_number,address_1_city,address_1_state_abbrev,address_1_postal_code,address_1_county_name,address_1_county_fips_code,address_1_country_code,address_1_latitude,address_1_longitude,telephone_1_type,telephone_1_primary_indicator,telephone_1_number,email_1_type,email_1_address,profile_thumbnail,hispanic_latino_ethnicity,old_ethnicity,racial_category_1,economic_disadvantaged,school_food_services_eligibility,characteristic_1_characteristic,characteristic_1_begin_date,characteristic_1_end_date,characteristic_1_designated_by,limited_english_proficiency,language_1,home_language_1,disability_1_disability,disability_1_diagnosis,disability_1_order,section_504_disability_1,displacement_status_type,programs_1_program,programs_1_begin_date,programs_1_end_date,programs_1_designated_by,learning_styles_visual,learning_styles_auditory,learning_styles_tactile,cohort_year_type,cohort_year,indicator_1_name,indicator_1_indicator,indicator_1_begin_date,indicator_1_end_date,indicator_1_designated_by
,900000001,,,,Birth certificate,,MARY,,SMITH,,,,,,,,,Female,1999-01-01,Addison,IL,US,,,,146 Alder Cresent,,,Chicago,IL,68000,,,US,,,Home,,(123) 456-7890,Home/Personal,msmith@test.slidev.org,,,,White,,Free,,,,,,,,,,,Other,,,,,,,,,,,,,,,
,900000002,,,,Birth certificate,,PATRICIA,,JOHNSON,III,,,,,,,,Female,1999-02-02,Algonquin,IL,US,,,,949 Almus Blvd,,,Chicago,IL,68001,,,US,,,Home,,(123) 456-7891,Home/Personal,pjohnson@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000003,,,,Birth certificate,,LINDA,,WILLIAMS,,,,,,,,,Female,1999-03-01,Alsip,IL,US,,,,849 Apricot Street,,,Chicago,IL,68002,,,US,,,Home,,(123) 456-7892,Home/Personal,lwilliams@test.slidev.org,,,,White,,,,,,,,,,,,,Attention Deficit Hyperactivity Disorder (ADHD),,Special Education,,,,,,,,,,,,,
,900000004,,,,Birth certificate,,BARBARA,SUSAN,JONES,,,,,,,,,Female,1999-04-01,Antioch,IL,US,,,,594 Arborvitae Blvd,,,Chicago,IL,68003,,,US,,,Home,,(123) 456-7893,Home/Personal,bjones@test.slidev.org,,,,White,,Reduced price,,,,,,,,,,,,,Special Education,,,,,,,,,,,,,
,900000005,,,,Birth certificate,,ELIZABETH,,BROWN,,,,,,,,,Female,1999-05-01,Arlington Heights,IL,US,,,,435 Ash Cresent,,,Chicago,IL,68004,,,US,,,Home,,(123) 456-7894,Home/Personal,ebrown@test.slidev.org,,,,White,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
,900000006,,,,Birth certificate,,JENNIFER,,DAVIS,,,,,,,,,Female,1999-06-01,Aurora,IL,US,,,,350 Beech Road,,,Chicago,IL,68005,,,US,,,Home,,(123) 456-7895,Home/Personal,jdavis@test.slidev.org,,,,White,,,,,,,,,,,,,Attention Deficit Hyperactivity Disorder (ADHD),,English as a Second Language (ESL),,,,,,,,,,,,,
,900000007,,,,Birth certificate,,MARIA,,MILLER,,,,,,,,,Female,1999-07-01,Bannockburn,IL,US,,,,597 Birch Blvd,,,Chicago,IL,68006,,,US,,,Home,,(123) 456-7896,Home/Personal,mmiller@test.slidev.org,,,,White,,Reduced price,,,,,,,,,,,Motor Impairment,,English as a Second Language (ESL),,,,,,,,,,,,,
,900000008,,,,Birth certificate,,SUSAN,DYAN,WILSON,,,,,,,,,Female,1999-08-01,Barrington,IL,US,,,,244 Black gum Street,,,Chicago,IL,68007,,,US,,,Home,,(123) 456-7897,Home/Personal,swilson@test.slidev.org,,,,White,,,,,,,,,,,,,,,Special Education,,,,,,,,,,,,,
,900000009,,,,Birth certificate,,MARGARET,,MOORE,,,,,,,,,Female,1999-09-01,Bartlett,IL,US,,,,763 Black haw Street,,,Chicago,IL,68008,,,US,,,Home,,(123) 456-7898,Home/Personal,mmoore@test.slidev.org,,,,White,,,,,,,,,,,,,Medical Condition,,,,,,,,,,,,,,,
,900000010,,,,Birth certificate,,DOROTHY,,TAYLOR,,,,,,,,,Female,1999-10-01,Batavia,IL,US,,,,922 Bladdernut Avenue,,,Chicago,IL,68009,,,US,,,Home,,(123) 456-7899,Home/Personal,dtaylor@test.slidev.org,,,,White,,Free,,,,,,,,,,,Medical Condition,,English as a Second Language (ESL),,,,,,,,,,,,,
