student_id,student_ref,student_state_id,student_id_1_id_system,student_id_1_assigning_org_code,student_id_1_id,student_name_verification,student_name_prefix,student_name_first,student_name_middle,student_name_last,student_name_suffix,student_name_maiden,student_other_name_1_type,student_other_name_1_prefix,student_other_name_1_first,student_other_name_1_middle,student_other_name_1_last,student_other_name_1_suffix,student_birth_date,student_sex,student_hispanic_latino_ethnicity,student_race,school_id,school_ref,school_state_id,school_id_1_id_system,school_id_1_id,entry_date,entry_grade_level,entry_type,repeat_grade_indicator,school_choice_transfer,exit_withdraw_date,exit_withdraw_type,graduation_plan,educational_plan_1
,,900000001,,,,,,MARY,,SMITH,,,,,,,,,1/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Distinguished,Full Time Employment
,,900000002,,,,,,PATRICIA,,JOHNSON,III,,,,,,,,2/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000003,,,,,,LINDA,,WILLIAMS,,,,,,,,,3/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000004,,,,,,BARBARA,,JONES,,,,,,,,,4/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000005,,,,,,ELIZABETH,,BROWN,,,,,,,,,5/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000006,,,,,,JENNIFER,,DAVIS,,,,,,,,,6/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000007,,,,,,MARIA,,MILLER,,,,,,,,,7/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000008,,,,,,SUSAN,,WILSON,,,,,,,,,8/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000009,,,,,,MARGARET,,MOORE,,,,,,,,,9/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000010,,,,,,DOROTHY,,TAYLOR,,,,,,,,,10/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000011,,,,,,LISA,,ANDERSON,,,,,,,,,11/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000012,,,,,,NANCY,,THOMAS,,,,,,,,,12/1/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000013,,,,,,KAREN,,JACKSON,,,,,,,,,1/2/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000014,,,,,,BETTY,,WHITE,,,,,,,,,1/3/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000015,,,,,,HELEN,,HARRIS,,,,,,,,,1/4/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000016,,,,,,SANDRA,,MARTIN,,,,,,,,,1/5/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Recommended,Full Time Employment
,,900000017,,,,,,DONNA,,THOMPSON,,,,,,,,,1/6/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000018,,,,,,CAROL,,GARCIA,,,,,,,,,1/7/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000019,,,,,,RUTH,,MARTINEZ,,,,,,,,,1/8/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000020,,,,,,SHARON,,ROBINSON,,,,,,,,,1/9/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000021,,,,,,MICHELLE,,CLARK,,,,,,,,,1/10/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000022,,,,,,LAURA,,RODRIGUEZ,,,,,,,,,1/11/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000023,,,,,,SARAH,,LEWIS,,,,,,,,,1/12/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000024,,,,,,KIMBERLY,,LEE,,,,,,,,,1/13/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000025,,,,,,DEBORAH,,WALKER,,,,,,,,,1/14/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000026,,,,,,JESSICA,,HALL,,,,,,,,,1/15/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000027,,,,,,SHIRLEY,,ALLEN,,,,,,,,,1/16/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
,,900000028,,,,,,CYNTHIA,,YOUNG,,,,,,,,,1/17/99,F,,,,,990000001,,,2012-01-17,Eighth grade,,,,,,Minimum,Full Time Employment
