ParentUSI,Verification,PersonalTitlePrefix,FirstName,MiddleName,LastSurname,GenerationCodeSuffix,MaidenName,Sex
900000,Other non-official document,Mr,Tracy,Marc,Pugh,,,Male
900001,Parents affidavit,Ms,Louisa,Christine,Mullins,,,Female
900002,State-issued ID,Mr,Allan,Allan,Edwards,Jr,,Male
900003,Physicians certificate,Ms,Faye,Nicole,Christensen,,,Female
900004,Baptismal or church certificate,Mr,Henry,Elmer,Hayes,,,Male
900005,Other official document,Ms,Briana,Regina,Nolan,Jr,,Female
900006,Entry in family Bible,Mr,Mathew,Manuel,Ashley,,,Male
900007,Passport,Mr,Duane,Shawn,Justice,,,Male
900008,Previously verified school records,Ms,Ingrid,Terry,Harrison,Jr,,Female
900009,Immigration document/visa,Mr,Rafael,Kelly,Gregory,,,Male
900010,Other,Ms,Julianne,Christie,Wiggins,Jr,,Female
900011,Other official document,Mr,Ruben,Theodore,Powers,,,Male
900012,Parents affidavit,Ms,Ollie,Nicole,Summers,Jr,,Female
900013,Parents affidavit,Mr,Edward,Hector,Randall,,,Male
900014,Baptismal or church certificate,Ms,Ella,Jessica,Johnson,,,Female
900015,Other,Mr,Jordan,Christopher,Patton,,,Male
900016,Immigration document/visa,Ms,Kristine,Nadine,Hoffman,,,Female
900017,Hospital certificate,Mr,Dwight,Claude,Mckinney,Jr,,Male
900018,Physicians certificate,Ms,Bertha,Eva,Jennings,,,Female
900019,State-issued ID,Mr,Nicholas,Jared,Woodard,,,Male
900020,Other official document,Ms,Augusta,Martha,Hartman,,,Female
900021,Birth certificate,Mr,Warren,Jordan,Pennington,Jr,,Male
900022,Other,Ms,Cassie,Cathy,Hart,,,Female
900023,Entry in family Bible,Ms,Melody,Valerie,Morin,Jr,,Female
900024,Other,Ms,Elise,Josie,Warren,,,Female
900025,Passport,Ms,Petra,Jewel,Mcmillan,Jr,,Female
900026,Birth certificate,Mr,Marvin,Glen,Roy,,,Male
900027,State-issued ID,Mr,Kirk,William,Whitaker,,,Male
900028,Physicians certificate,Ms,Melinda,Ida,Crawford,Jr,,Female
900029,Other official document,Mr,Rene,Bill,Alvarado,Jr,,Male
900030,Immigration document/visa,Ms,Sara,Reva,Huff,,,Female
900031,Hospital certificate,Mr,David,Danny,Blevins,,,Male
900032,Baptismal or church certificate,Mr,Jonathan,Cecil,Mcclain,Jr,,Male
900033,Birth certificate,Ms,Tracy,Georgia,Snider,,,Female
900034,Birth certificate,Mr,Dan,Leroy,Bowen,,,Male
900035,Birth certificate,Ms,Laurie,May,Campos,,,Female
900036,Entry in family Bible,Mr,Gregory,Dale,Rice,Jr,,Male
900037,Other official document,Ms,Brandi,Carly,Parks,,,Female
900038,Previously verified school records,Mr,Chester,Byron,Norman,Jr,,Male
900039,Life insurance policy,Ms,James,Agnes,Owen,Jr,,Female
900040,Birth certificate,Mr,Dustin,Oscar,Monroe,,,Male
900041,Physicians certificate,Ms,Alejandra,Beth,Hinton,,,Female
900042,Previously verified school records,Mr,Ralph,Jaime,Garner,,,Male
900043,Parents affidavit,Ms,Alice,Alta,West,Jr,,Female
900044,Parents affidavit,Mr,Peter,Derek,Charles,,,Male
900045,Birth certificate,Ms,Eileen,Harriet,Faulkner,,,Female
900046,Baptismal or church certificate,Mr,Jeremy,Roger,Lott,,,Male
900047,Other non-official document,Mr,John,Andre,Becker,,,Male
900048,Immigration document/visa,Ms,Berta,Antonia,Kline,Jr,,Female
900049,Entry in family Bible,Mr,Bruce,Frank,Kramer,,,Male
900050,Entry in family Bible,Ms,Kathy,Lidia,Greer,,,Female
900051,State-issued ID,Mr,Lee,Jesse,Robbins,Jr,,Male
900052,Other non-official document,Ms,Mai,Jane,Good,Jr,,Female
900053,Other,Mr,Troy,Terrence,Gregory,,,Male
900054,Baptismal or church certificate,Ms,Greta,Naomi,Morse,,,Female
900055,Other non-official document,Mr,Ted,Karl,Holloway,,,Male
900056,Baptismal or church certificate,Ms,Claudine,Laurel,White,,,Female
900057,Other official document,Mr,Adam,Martin,Bonner,Jr,,Male
900058,Birth certificate,Ms,Lynn,Jodi,Underwood,Jr,,Female
900059,Immigration document/visa,Mr,Bradley,Russell,Shepherd,,,Male
900060,Entry in family Bible,Ms,Joanne,Jannie,Salazar,,,Female
900061,Passport,Mr,Chester,Alexander,Watts,,,Male
900062,Other,Mr,Guy,Raymond,Estes,Jr,,Male
